Date Collected,Tweet_count,Username,Text,Created At,Retweets,Likes
2024-09-23,3,Russian Market,"New batches of electronic devices: iPhones, Notebooks — are exploding right in the stores. Footage shows terrified employees of one such shop, who miraculously managed to run outside just in time.

Apple stock so far untouched $aapl #Lebanon https://t.co/1q5DEluVIy",Wed Sep 18 15:24:17 +0000 2024,285,628
2024-09-23,4,Quiver Quantitative,"Nancy Pelosi has made $3,090,000 in the stock market so far today.

That is 17x her annual salary, in unrealized gains.

The market has only been open for 3 hours. https://t.co/xhmQPI536F",Thu Sep 19 16:39:34 +0000 2024,680,1637
2024-09-23,5,cyberprince,"100 likes and I drop massive Rocket Lab thread for every single person getting into the stock now.

I will write a pristine massive thread to be posted tonight or tomorrow’s market hours.

Do Prince a solid.

RT, like, and comment and I will deliver a masterpiece thesis.

$RKLB https://t.co/jyAaO0w0g8",Mon Sep 23 02:11:36 +0000 2024,6,79
2024-09-23,6,Stock Market News,"Sensorion Reports New Positive Clinical Results Presented at the World Congress of Audiology: * Sensorion reported positive initial safety data on the First Patient Injected in Audiogene, its Phase 1/2 gene therapy clinical trial of SENS-501 

 *… https://t.co/Oy0Pnb0oUV",Mon Sep 23 05:32:06 +0000 2024,0,0
2024-09-23,7,Kamala HQ,"Four years ago today, the stock market logged its worst week since the Great Recession

Today, the Dow, S&amp;P 500, and Nasdaq hit the highest level they’ve ever been in history https://t.co/qF3sVJ26Rt",Thu Mar 21 00:41:54 +0000 2024,1966,5346
2024-09-23,8,K1ng_cut,"Cheryl hines... I hate smear and fake news. Let's not forget about the real issues America faces. Digital IDs, poison in our food, wars, Christian genocide, open borders, inflation, stock market, crypto! Leave Robert Kennedy Jr. Alone. https://t.co/jJtEyNPsHo",Fri Sep 20 06:17:28 +0000 2024,123,550
2024-09-23,9,The Best,"Stock market. 😂

 https://t.co/EGSblN0uui",Mon Sep 16 16:19:54 +0000 2024,15758,138694
2024-09-23,10,bΞn v🌱,"My lil stock market coins doin' some 💹💹💹 😁😁💅💅
$SPX https://t.co/u3kSjO9Syl",Mon Sep 23 05:21:13 +0000 2024,3,8
2024-09-23,11,Stock Market News,"KM Malta Airlines, the Maltese Islands' New National Carrier, Implements CellPoint Digital's Payment Orchestration Solution: The partnership will enable KM Malta Airlines to provide passengers with a seamless payment experience and access to their… https://t.co/jBCWLjGTGK",Mon Sep 23 05:32:09 +0000 2024,0,0
2024-09-23,12,Wall Street Apes,"If You’re Wondering Why No One Ever Goes For Jail For The 24/7 Stock Market Fraud Taking Place, Look No Further Than This Clip

Rep Byron Donalds questions Head of the SEC, Gary Gensler who’s also former Hillary Clinton campaign CFO, about facilitating the Steele Dossier payment https://t.co/8OIHMVf02c",Mon Jun 17 22:29:48 +0000 2024,4308,9847
2024-09-23,13,Stock Market News,European #stocks poised to start the week positively as markets remain buoyed by Fed cut - CNBC: European #stocks poised to start the week positively as markets remain buoyed by Fed cut  CNBC https://t.co/jpxcosCjur,Mon Sep 23 05:38:04 +0000 2024,0,1
2024-09-23,14,Vijayasai Reddy V,"Hon’ble PM @narendramodi Ji’s address to the Indian diaspora in the USA showed the unparalleled support he has from NRIs. For a #VikasitBharat, we must empower our diaspora by simplifying their investments in the Indian stock/bond market and ensuring stronger legal safeguards for",Mon Sep 23 05:31:47 +0000 2024,6,38
2024-09-23,15,Ian Carroll,"Who owns the entire stock market?
It’s not BlackRock  and it’s not Vanguard.   I like to call it “Megacorp”

And this is Megacorp. https://t.co/oBVlksTcOw",Mon Jan 15 22:31:21 +0000 2024,7865,20818
2024-09-23,16,Michael,This is happening more and more in your “stock market” America. Please tell me how these “glitches” aren’t anything again?!  $NVDA #glitch $GME $AMC https://t.co/opJGZ2HeEt,Fri Sep 20 21:32:12 +0000 2024,33,188
