Tweet_count,Username,Text,Created At,Retweets,Likes
1,Elon Musk,stock art https://t.co/HSWnwK68OV,Mon Dec 23 21:02:18 +0000 2019,33531,307874
2,Elon Musk,Barrel on dome https://t.co/kpSIJphbnk,Mon Dec 30 09:18:31 +0000 2019,418,13649
